Question,copilot_answer,luisgpt_answer,response_time,faithfulness_rating,faithfulness_reason,factualness_rating,factualness_reason,clarity_rating,clarity_reason,relevance_rating,relevance_reason,conciseness_rating,conciseness_reason,overall_rating,overall_reason
How do I apply annual leave?,"To apply for annual leave with Singtel HR, you need to follow these steps:
1. Inform your immediate supervisor on the day of your absence from work.
2. Upon your return to work, apply for leave via HR Central - Time Off.
3. Attach supporting documentation, such as medical certificates, issued by a registered medical or dental practitioner during the application process.
4. Note that employees may take up to 3 days of non-consecutive sick leave each year without requiring medical certificates to be submitted [1].

[1]: cite:1 ""Citation-1""","Hello! I'm Luis. To apply for annual leave, you can follow these steps:

1. Check your leave balance: First, make sure you have enough leave balance to cover the duration of your intended leave. You can check your leave balance on HRCentral.
2. Discuss with your manager: Before applying for leave, it's always a good idea to discuss your leave plans with your direct manager. This is to ensure that your leave does not conflict with any important work commitments or projects.
3. Apply for leave on HRCentral: Once you have discussed your leave plans with your manager, you can apply for leave on HRCentral. Simply log in to HRCentral, go to the ""Leave"" tab, and select the type of leave you wish to apply for (e.g., Annual Leave). Enter the dates of your leave and submit your application.
4. Wait for approval: After submitting your leave application, your manager will receive an email notification to approve your leave. Once your leave is approved, you will receive a confirmation email.

Remember, if you are a Regular employee, your annual leave is by calendar year, and your leave entitlements for your new contract year will only be refreshed upon the commencement of your new contract year. If you are a Fixed-term employee, your annual leave is based on your contract year.

I hope this helps! If you have any further questions, feel free to ask.

Additionally, you can check out the following links for more information:
- To access HRCentral, you may visit Espresso > Self-service > HRCentral 
",40.23215336799622,7,Copilot provides steps that are generally aligned with typical HR processes but may not be specific to Singtel HR.,6,"Copilot includes some accurate steps but also adds details like medical certificates for annual leave, which may not be relevant.",8,"Copilot presents the steps in a clear and understandable manner, though some steps could be more specific.",5,"Copilot includes steps related to sick leave and medical certificates, which are not relevant to applying for annual leave.",7,Copilot is relatively concise but includes unnecessary details about sick leave.,7,Copilot provides a generally good answer but includes irrelevant information and lacks specificity to Singtel HR.
"hi luis, how are you?","Hello, how can I help you today?","Hello! I'm doing well, thanks for asking. How may I assist you today?",37.96026701927185,5,"Copilot does not accurately reflect the information provided in the source question, which is a greeting and inquiry about well-being.",6,Copilot's response is factually correct in a general sense but does not address the specific question asked.,8,Copilot presents its response in a clear and understandable manner.,4,"Copilot's response is not relevant to the question, which was a personal greeting and inquiry about well-being.",9,"Copilot provides a concise response, though it is not directly related to the question.",5,Copilot's response is clear and concise but fails to address the specific question asked.
i want to apply leave. are you able to assist me?,"To apply for leave, you can follow these steps: 
1. Inform your immediate supervisor on the day of your absence from work if you are unable to report for work due to medical reasons.
2. Upon your return to work, apply for leave via HR Central - Time Off and attach supporting documentation, such as medical certificates issued by a registered medical or dental practitioner [1].

[1]: cite:1 ""Citation-1""","Yes, I can assist you with applying leave. Please provide me with the necessary details such as the type of leave you want to apply for, the dates of your leave, and your manager's name. Additionally, let me know if you have any specific requirements or requests, such as a half-day leave or a leave for a specific number of days.",38.83692736625672,8,Copilot accurately reflects the information provided in the source.,7,Copilot provides mostly accurate information but with minor errors.,9,Copilot presents information in a clear and understandable manner.,6,Copilot includes some irrelevant details.,8,Copilot provides a concise summary of the information.,10,Copilot delivers a great answer with room for improvement.
"I like to change my staff pass, who can i approach","To change your staff pass, you should approach the Pass Office at either SRN Hub or Comcentre, or your manager [1].

[1]: cite:1 ""Citation-1""","Based on the information provided, you can approach Corporate Security at g-hqpassoff@singtel.com for staff pass enquiries.",38.39207119941712,8,Copilot accurately reflects the information provided in the source.,7,Copilot provides mostly accurate information but with minor errors.,9,Copilot presents information in a clear and understandable manner.,6,Copilot includes some irrelevant details.,8,Copilot provides a concise summary of the information.,10,Copilot delivers a great answer with room for improvement.
How many days of annual leave am I entitled to?,"Eligible Singtel employees are entitled to annual leave based on their years of service. The entitlement varies for different categories of employees, such as Operations & Support, Professional, and Executive & Top Executive, ranging from 14 to 24 working days per calendar year [1].

[1]: cite:1 ""Citation-1""","Based on the information provided, annual leave entitlement is calculated using the formula:

(No. of calendar days from Start Date to End Date / Calendar Days in the year) x Entitlement

As a new hire, your annual leave entitlement is 18 days. If you commence work on May 15th, your pro-rated leave entitlement would be:

(No. of calendar days from May 15th to December 31st / 365) x 18 days

= (231 / 365) x 18

= 11.3 days, rounded down to 11 days

Therefore, you are entitled to 11 days of annual leave.

Additionally, you can check out the following links for more information:
- <a href='https://singtel.sharepoint.com/:x:/r/sites/app_hrsingtel/Policies/Leave/_layouts/15/Doc.aspx?sourcedoc=%7BC53CD88E-6037-4B65-A12E-F71121126814%7D&file=Leave%20Calculator_Termination.xlsx&action=default&mobileredirect=true' target='_blank'> Doc </a> 
- <a href='https://singtel.sharepoint.com/sites/app_hrsingtel/Policies/Leave/Pages/Annual%20Leave.aspx' target='_blank'> Annual Leave </a> 
",39.29574031829834,8,Copilot accurately reflects the information provided in the source.,7,Copilot provides mostly accurate information but with minor errors.,9,Copilot presents information in a clear and understandable manner.,6,Copilot includes some irrelevant details.,8,Copilot provides a concise summary of the information.,10,Copilot delivers a great answer with room for improvement.
do we allow half day medical leave?,"Yes, Singtel HR allows half-day medical leave. All types of Family Flexi Leave (FFL) can be taken on a full-day or half-day basis, except for FFL - Birthday and FFL - Marriage, which have specific requirements [1].

[1]: cite:1 ""Citation-1""","Based on the provided context, the answer to the question ""do we allow half day medical leave?"" is no. The policy states that there is no half day Medical, Sick or Hospitalisation leave. Employees who are unwell may apply up to 3 days of non-consecutive sick leave in a year without having to attach a medical certificate, which will be deducted from their 14 days sick leave entitlement. Therefore, half day medical leave is not an option.

Additionally, you can check out the following links for more information:
- <a href='https://singtel.sharepoint.com/sites/app_hrsingtel/Policies/Leave/Pages/Medical%20Leave.aspx' target='_blank'> Medical Leave </a> 
",39.60556621551514,5,"Copilot inaccurately states that half-day medical leave is allowed, which contradicts the provided context.",4,Copilot's information is mostly incorrect regarding the policy on half-day medical leave.,8,"Copilot presents information in a clear and understandable manner, despite the inaccuracies.",7,Copilot includes some relevant details but also adds information not directly related to the question.,7,Copilot provides a concise summary but includes unnecessary details about Family Flexi Leave.,5,Copilot's answer is clear but factually incorrect regarding the policy on half-day medical leave.
Is overseas medical certificate recognised for sick/hospitalisation leave?,"MCs issued by overseas medical clinics or hospitals are not recognized. Only medical certificates issued by overseas panel medical clinics may be recognized for sick or hospitalization leave [1].

[1]: cite:1 ""Citation-1""","Based on the provided context, the answer to the question ""Is overseas medical certificate recognised for sick/hospitalisation leave?"" is no. According to the policy, medical certificates from overseas medical clinics or hospitals (except for overseas panel medical clinics) are not recognised for sick/hospitalisation leave. Employees who are unwell and need to take sick leave must attach a medical certificate issued by a registered medical or dental practitioner in Singapore to support their application.

Additionally, you can check out the following links for more information:
- <a href='https://singtel.sharepoint.com/sites/app_hrsingtel/Policies/Leave/Pages/Medical%20Leave.aspx' target='_blank'> Medical Leave </a> 
",40.10774464607239,8,Copilot accurately reflects the information provided in the source.,7,Copilot provides mostly accurate information but with minor errors.,9,Copilot presents information in a clear and understandable manner.,6,Copilot includes some irrelevant details.,8,Copilot provides a concise summary of the information.,10,Copilot delivers a great answer with room for improvement.
How do I obtain letter of employment?,"To obtain a Letter of Employment from Singtel HR, you need to follow these steps:
1. Your off-boarding process will commence once the termination workflow in HRC is approved by your manager.
2. You will receive the Acknowledgement of Resignation Letter, which includes the Certificate Of Employment. Save this document for your records [1].
3. If you are a Singapore Permanent Resident (PR), complete the required Letter of Undertaking and email it to g-payrollsg@singtel.com [2].
4. For more details and specific links, refer to the provided documents in the sources [1]​[2].

[1]: cite:1 ""Citation-1""
[2]: cite:2 ""Citation-2""","To obtain a letter of employment, you can follow these steps:

1. Click on the following link > <a href=""https://apps.powerapps.com/play/e/default-beb276ac-6e9f-498e-8e31-019ee666decd/a/cf4b9892-d3f2-4bcd-8297-59dfbad3ef77?tenantId=beb276ac-6e9f-498e-8e31-019ee666decd&hint=ec9cafaf-f840-42fb-a403-b6ed18e1196e&sourcetime=1692925785113&source=portal"" target=""_blank"">Certificate of Employment Request</a>.
2. Alternatively, you may access it through <a href=""https://singtel.sharepoint.com/Pages/default.aspx"" target=""_blank"">Singtel Group Espresso Home Page</a> > go > SELF-SERVICE > Click on Certificate of Employment Request
3. Under * Type of Letter(s), select [General Purpose]
4. If you cannot find a match of the Addressee, scroll down to select ""THE OFFICER-IN-CHARGE"" and type the address in CAPITAL Letters in the ""Organization Address to be send to (if applicable) text box.""
5. Once you have submitted the request form, you will receive email notification upon successful submission of request. You will receive soft copy of the certificate of employment / letter of employment / company verification letter within 24 hours.
6. If you did not receive soft copy of the certificate of employment / letter of employment / company verification letter, please email to the People Ops Team for assistance. Singtel Employee: email [hremployteam@singtel.com] NCS Employee: email [ml-ncshropsup@singtel.com]

Therefore, you can obtain a letter of employment by following the steps mentioned above, or you can contact the People Ops Team for assistance.

Additionally, you can check out the following links for more information:
- <a href=""https://singtel.sharepoint.com/Pages/default.aspx"" target=""_blank""> Espresso </a> 
",40.45175666809082,7,Copilot accurately reflects the general process but includes specific details that may not apply universally.,6,Copilot provides mostly accurate information but includes specific steps that may not be applicable to all users.,8,"Copilot presents information in a clear and understandable manner, though some steps could be simplified.",5,"Copilot includes details specific to Singtel, which may not be relevant to users seeking general information.",7,Copilot provides a detailed summary but could be more concise by removing overly specific steps.,7,Copilot delivers a good answer but includes specific details that limit its general applicability.
Is overseas medical certificate recognized for medical sick leave?,"Yes, Singtel does recognize overseas medical certificates for medical sick leave, but there are certain conditions and procedures that need to be followed. Here are the steps you should take:

1. **Obtain a Valid Medical Certificate**: Ensure that the medical certificate is issued by a licensed medical practitioner in the country where you received treatment.

2. **Translate the Certificate**: If the medical certificate is not in English, you may need to get it translated by a certified translator.

3. **Submit the Certificate**: Submit the original medical certificate (and the translated version, if applicable) to your HR department as soon as possible. 

4. **Provide Additional Documentation**: Be prepared to provide any additional documentation or information that HR may require to verify the authenticity of the medical certificate.

5. **Follow Up**: Follow up with your HR representative to ensure that your medical leave is processed correctly.

For more detailed information, you can refer to Singtel's HR policies or contact your HR representative directly.
AI-generated content may be incorrect","Based on the provided context, the answer to the question ""Is overseas medical certificate recognized for medical sick leave?"" is no. According to the information provided, medical certificates from overseas medical clinics or hospitals (except for overseas panel medical clinics) are not recognized for sick leave. Employees who are unwell and need to take sick leave must provide a medical certificate issued by a registered medical or dental practitioner in Singapore to support their application.

Additionally, you can check out the following links for more information:
- <a href='https://singtel.sharepoint.com/sites/app_hrsingtel/Policies/Leave/Pages/Medical%20Leave.aspx' target='_blank'> Medical Leave </a> 
",42.64943380355835,7,Copilot provides a generally accurate response but does not fully align with the specific policies mentioned in the source.,6,Copilot's information is mostly accurate but includes some assumptions and lacks specific details about the exceptions for overseas panel medical clinics.,9,"Copilot presents the information in a clear and structured manner, making it easy to understand.",7,Copilot includes mostly relevant details but adds some procedural steps that may not be necessary.,7,Copilot provides a detailed response but could be more concise by omitting less critical steps.,8,Copilot delivers a good answer with some room for improvement in accuracy and relevance.
Can I replace my Annual leave with medical - sick leave.,"Employees cannot replace consumed annual leave with medical leave [1].

[1]: cite:1 ""Citation-1""","Based on the provided context, the answer to the question ""Can I replace my Annual leave with medical - sick leave"" is no. According to the policy, an employee cannot cancel his/her leave to be replaced by his/her sick leave as sick leave shall not be granted when the employee is on any planned approved leave (e.g., annual leave, maternity leave, statutory childcare leave). This is in line with the MOM guidelines, which state that an employee is not entitled to paid sick leave on the following occasions, even if he is given a medical leave by the doctor: rest days, public holidays, non-working days, during annual leave, during no-pay leave. Therefore, if an employee falls sick on his annual leave, his absence from work would still be treated as annual leave and not sick leave.

It's worth noting that employees who have fully utilized their sick leave can apply for annual leave in the event that they fall sick again, and if they have fully consumed their annual leave, they should apply for no-pay leave.",41.92331500053406,9,Copilot accurately reflects the information provided in the source.,9,Copilot provides accurate information with no evident errors.,8,"Copilot presents information in a clear and understandable manner, but could benefit from additional context.",9,Copilot directly addresses the question without including irrelevant details.,10,Copilot provides a concise and direct answer to the question.,9,Copilot delivers a strong answer with minor room for improvement in providing additional context.
