Question,copilot_answer,luisgpt_answer,response_time,faithfulness_rating,faithfulness_reason,factualness_rating,factualness_reason,clarity_rating,clarity_reason,relevance_rating,relevance_reason,conciseness_rating,conciseness_reason,overall_rating,overall_reason
How do I apply annual leave?,"To apply for annual leave at Singtel, you need to follow these steps:
1. Log in to HR Central - Time Off.
2. Submit your leave application.
3. Attach any required supporting documentation, such as medical certificates if applicable.
4. Keep your managers and P&C partners updated on the progress of your leave application and recovery [1].

[1]: cite:1 ""Citation-1""","Hello! I'm Luis. To apply for annual leave, you can follow these steps:

1. Check your leave balance: First, make sure you have enough leave balance to cover the duration of your intended leave. You can check your leave balance on HRCentral.
2. Discuss with your manager: Before applying for leave, it's always a good idea to discuss your leave plans with your direct manager. This is to ensure that your leave does not conflict with any important work commitments or projects.
3. Apply for leave on HRCentral: Once you have discussed your leave plans with your manager, you can apply for leave on HRCentral. Simply log in to HRCentral, go to the ""Leave"" tab, and select the type of leave you wish to apply for (e.g., Annual Leave). Enter the dates of your leave and submit your application.
4. Wait for approval: After submitting your leave application, your manager will receive an email notification to approve your leave. Once your leave is approved, you will receive a confirmation email.

Remember, if you are a Regular employee, your annual leave is by calendar year, and your leave entitlements for your new contract year will only be refreshed upon the commencement of your new contract year. If you are a Fixed-term employee, your annual leave is based on your contract year.

I hope this helps! If you have any further questions, feel free to ask.

Additionally, you can check out the following links for more information:
- To access HRCentral, you may visit Espresso > Self-service > HRCentral 
",17.56518335342407,8,Copilot accurately reflects the general process of applying for annual leave but lacks specific details about Singtel's policies.,7,Copilot provides mostly accurate information but does not specify the exact platform (HRCentral) and omits some procedural details.,9,"Copilot presents information in a clear and understandable manner, making it easy to follow the steps.",7,"Copilot includes relevant steps but mentions keeping managers and P&C partners updated, which may not be necessary for all users.",8,Copilot provides a concise summary of the steps needed to apply for annual leave without unnecessary elaboration.,8,Copilot delivers a good answer with some room for improvement in terms of specificity and relevance.
"hi luis, how are you?","¡Hola! Estoy aquí para ayudarte con cualquier consulta relacionada con recursos humanos de Singtel. ¿En qué puedo asistirte hoy?
AI-generated content may be incorrect","Hello! I'm doing well, thanks for asking. How may I assist you today?",6.61068959236145,5,Copilot does not directly address the question 'how are you?' and instead shifts to a different topic.,6,Copilot provides accurate information about its purpose but does not answer the question asked.,8,"Copilot's response is clear and understandable, but it does not address the question.",4,Copilot's response is mostly irrelevant to the question asked.,7,Copilot's response is concise but not relevant to the question.,5,"Copilot's response is clear and concise but fails to address the question, making it less effective."
i want to apply leave. are you able to assist me?,"To apply for leave, you can follow these steps:
1. Ensure to inform your immediate supervisor on the day of your absence from work for medical grounds.
2. Upon your return to work, apply for leave via HR Central - Time Off and attach supporting documentation, such as medical certificates issued by a registered medical or dental practitioner [1].

[1]: cite:1 ""Citation-1""","Yes, I can assist you with applying leave. Please provide me with the necessary details such as the type of leave you want to apply for, the dates of your leave, and your manager's name. Additionally, let me know if you have any specific requirements or requests, such as a half-day leave or a leave for a specific number of days.",10.101365995407104,8,"Copilot accurately reflects the general process of applying for leave, including informing a supervisor and using an HR system.",7,Copilot provides mostly accurate information but assumes the use of a specific HR system (HR Central) which may not be universally applicable.,9,Copilot presents the steps in a clear and understandable manner.,6,Copilot includes specific details about medical leave and documentation which may not be relevant to all types of leave requests.,8,Copilot provides a concise summary of the steps to apply for leave.,8,Copilot delivers a good answer but could improve by being more universally applicable and relevant to all types of leave.
"I like to change my staff pass, who can i approach","To change your staff pass, you should approach either the Direct Manager or the Pass Office for acknowledgment and assistance [1].

[1]: cite:1 ""Citation-1""","Based on the information provided, you can approach Corporate Security at g-hqpassoff@singtel.com for staff pass enquiries.",12.929189872741699,8,Copilot accurately reflects the information provided in the source.,7,Copilot provides mostly accurate information but with minor errors.,9,Copilot presents information in a clear and understandable manner.,6,Copilot includes some irrelevant details.,8,Copilot provides a concise summary of the information.,10,Copilot delivers a great answer with room for improvement.
How many days of annual leave am I entitled to?,"Eligible employees at Singtel are entitled to annual leave based on their years of service. The entitlement varies for different categories of employees, such as Operations & Support, Professional, and Executive/Top Executive, ranging from 14 to 24 working days per calendar year [1].

[1]: cite:1 ""Citation-1""","Based on the information provided, annual leave entitlement is calculated using the formula:

(No. of calendar days from Start Date to End Date / Calendar Days in the year) x Entitlement

As a new hire, your annual leave entitlement is 18 days. If you commence work on May 15th, your pro-rated leave entitlement would be:

(No. of calendar days from May 15th to December 31st / 365) x 18 days

= (231 / 365) x 18

= 11.3 days, rounded down to 11 days

Therefore, you are entitled to 11 days of annual leave.

Additionally, you can check out the following links for more information:
- <a href='https://singtel.sharepoint.com/:x:/r/sites/app_hrsingtel/Policies/Leave/_layouts/15/Doc.aspx?sourcedoc=%7BC53CD88E-6037-4B65-A12E-F71121126814%7D&file=Leave%20Calculator_Termination.xlsx&action=default&mobileredirect=true' target='_blank'> Doc </a> 
- <a href='https://singtel.sharepoint.com/sites/app_hrsingtel/Policies/Leave/Pages/Annual%20Leave.aspx' target='_blank'> Annual Leave </a> 
",9.401959133148193,8,Copilot accurately reflects the information provided in the source.,7,Copilot provides mostly accurate information but with minor errors.,9,Copilot presents information in a clear and understandable manner.,6,Copilot includes some irrelevant details.,8,Copilot provides a concise summary of the information.,10,Copilot delivers a great answer with room for improvement.
do we allow half day medical leave?,"Yes, Singtel HR allows half-day medical leave. Employees who work normal office hours may apply for half-day medical leave comprising a continuous period of 4 hours [1].

[1]: cite:1 ""Citation-1""","Based on the provided context, the answer to the question ""do we allow half day medical leave?"" is no. The policy states that there is no half day Medical, Sick or Hospitalisation leave. Employees who are unwell may apply up to 3 days of non-consecutive sick leave in a year without having to attach a medical certificate, which will be deducted from their 14 days sick leave entitlement. Therefore, half day medical leave is not an option.

Additionally, you can check out the following links for more information:
- <a href='https://singtel.sharepoint.com/sites/app_hrsingtel/Policies/Leave/Pages/Medical%20Leave.aspx' target='_blank'> Medical Leave </a> 
",9.99784059524536,5,"Copilot's response is not entirely faithful to the provided context, as it incorrectly states that half-day medical leave is allowed.",4,"Copilot's information is factually incorrect based on the provided context, which states that half-day medical leave is not an option.",8,Copilot presents its information in a clear and understandable manner.,7,Copilot's response is mostly relevant but includes some incorrect details.,9,Copilot provides a concise summary of its (incorrect) information.,5,Copilot's answer is clear and concise but factually incorrect and not entirely faithful to the provided context.
Will overseas medical certificate be accepted for sick leave?,"Medical certificates from overseas medical clinics or hospitals are not recognized. Only medical certificates issued by overseas panel medical clinics may be recognized at Singtel for sick leave purposes [1].

[1]: cite:1 ""Citation-1""","Based on the provided context, the answer to the question ""Will overseas medical certificate be accepted for sick leave?"" is no. The policy states that medical certificates from overseas medical clinics or hospitals (except for overseas panel medical clinics) are not recognized. Therefore, an overseas medical certificate will not be accepted for sick leave.

Additionally, you can check out the following links for more information:
- <a href='https://singtel.sharepoint.com/sites/app_hrsingtel/Policies/Leave/Pages/Medical%20Leave.aspx' target='_blank'> Medical Leave </a> 
",9.947663736343383,8,Copilot accurately reflects the information provided in the source.,7,Copilot provides mostly accurate information but with minor errors.,9,Copilot presents information in a clear and understandable manner.,6,Copilot includes some irrelevant details.,8,Copilot provides a concise summary of the information.,10,Copilot delivers a great answer with room for improvement.
Is overseas medical certificate recognised for sick/hospitalisation leave?,"An overseas medical certificate is recognized for sick or hospitalization leave. To ensure proper recognition, you may need to submit the certificate along with relevant supporting documents as per the company's policy [1].

[1]: cite:1 ""Citation-1""","Based on the provided context, the answer to the question ""Is overseas medical certificate recognised for sick/hospitalisation leave?"" is no. According to the policy, medical certificates from overseas medical clinics or hospitals (except for overseas panel medical clinics) are not recognised for sick/hospitalisation leave. Employees who are unwell and need to take sick leave must attach a medical certificate issued by a registered medical or dental practitioner in Singapore to support their application.

Additionally, you can check out the following links for more information:
- <a href='https://singtel.sharepoint.com/sites/app_hrsingtel/Policies/Leave/Pages/Medical%20Leave.aspx' target='_blank'> Medical Leave </a> 
",7.899004888534546,7,Copilot's response is generally faithful but lacks specific details about company policies and exceptions.,6,Copilot's answer is somewhat accurate but does not account for specific company policies that may not recognize overseas medical certificates.,9,Copilot presents the information in a clear and understandable manner.,7,Copilot's response is mostly relevant but includes a general statement that may not apply to all companies.,8,Copilot provides a concise summary but could benefit from more specific details.,8,Copilot delivers a good answer but could improve by including more specific details about company policies and exceptions.
How do I obtain letter of employment?,"To obtain a Letter of Employment from Singtel HR, you need to follow these steps:
1. Your off-boarding process must commence once the termination workflow in HRC is approved by your manager [1].
2. You will receive the Acknowledgement of Resignation Letter, which includes the Certificate Of Employment. Save this document for your records [1].
3. If you are a Singapore Permanent Resident (PR), complete the required Letter of Undertaking and email it to g-payrollsg@singtel.com [2].
4. For more details and specific links, you can refer to the provided documents in the retrieved information [1]​[2].

[1]: cite:1 ""Citation-1""
[2]: cite:2 ""Citation-2""","To obtain a letter of employment, you can follow these steps:

1. Click on the following link > <a href=""https://apps.powerapps.com/play/e/default-beb276ac-6e9f-498e-8e31-019ee666decd/a/cf4b9892-d3f2-4bcd-8297-59dfbad3ef77?tenantId=beb276ac-6e9f-498e-8e31-019ee666decd&hint=ec9cafaf-f840-42fb-a403-b6ed18e1196e&sourcetime=1692925785113&source=portal"" target=""_blank"">Certificate of Employment Request</a>.
2. Alternatively, you may access it through <a href=""https://singtel.sharepoint.com/Pages/default.aspx"" target=""_blank"">Singtel Group Espresso Home Page</a> > go > SELF-SERVICE > Click on Certificate of Employment Request
3. Under * Type of Letter(s), select [General Purpose]
4. If you cannot find a match of the Addressee, scroll down to select ""THE OFFICER-IN-CHARGE"" and type the address in CAPITAL Letters in the ""Organization Address to be send to (if applicable) text box.""
5. Once you have submitted the request form, you will receive email notification upon successful submission of request. You will receive soft copy of the certificate of employment / letter of employment / company verification letter within 24 hours.
6. If you did not receive soft copy of the certificate of employment / letter of employment / company verification letter, please email to the People Ops Team for assistance. Singtel Employee: email [hremployteam@singtel.com] NCS Employee: email [ml-ncshropsup@singtel.com]

Therefore, you can obtain a letter of employment by following the steps mentioned above, or you can contact the People Ops Team for assistance.

Additionally, you can check out the following links for more information:
- <a href=""https://singtel.sharepoint.com/Pages/default.aspx"" target=""_blank""> Espresso </a> 
",8.458870363235473,8,Copilot accurately reflects the information provided in the source.,7,Copilot provides mostly accurate information but with minor errors.,9,Copilot presents information in a clear and understandable manner.,6,Copilot includes some irrelevant details.,8,Copilot provides a concise summary of the information.,10,Copilot delivers a great answer with room for improvement.
Is overseas medical certificate recognized for medical sick leave?,"Yes, Singtel does recognize overseas medical certificates for medical sick leave, but there are specific guidelines and procedures you need to follow:

1. **Documentation**: Ensure that the medical certificate is issued by a licensed medical practitioner and includes all necessary details such as your diagnosis, the period of leave, and the doctor's contact information.

2. **Translation**: If the medical certificate is not in English, you may need to provide a certified translation.

3. **Submission**: Submit the medical certificate to your HR department as soon as possible. You can usually do this via email or through the company's internal HR portal.

4. **Verification**: Be prepared for the possibility that HR may verify the authenticity of the medical certificate.

For the most accurate and detailed information, it's always best to refer to Singtel's internal HR policies or contact your HR representative directly.
AI-generated content may be incorrect","Based on the provided context, the answer to the question ""Is overseas medical certificate recognized for medical sick leave?"" is no. According to the information provided, medical certificates from overseas medical clinics or hospitals (except for overseas panel medical clinics) are not recognized for sick leave. Employees who are unwell and need to take sick leave must provide a medical certificate issued by a registered medical or dental practitioner in Singapore to support their application.

Additionally, you can check out the following links for more information:
- <a href='https://singtel.sharepoint.com/sites/app_hrsingtel/Policies/Leave/Pages/Medical%20Leave.aspx' target='_blank'> Medical Leave </a> 
",13.36673994064331,7,Copilot provides a generally accurate answer but does not fully align with the specific policies mentioned in the context.,6,"Copilot's information is mostly correct but includes some inaccuracies, such as the need for a certified translation which may not be universally required.",9,"Copilot presents the information in a clear and structured manner, making it easy to understand.",7,Copilot includes mostly relevant details but adds some procedural steps that may not be necessary.,7,Copilot provides a detailed answer but could be more concise by omitting less critical information.,8,Copilot delivers a good answer with some room for improvement in accuracy and conciseness.
