Question,copilot_answer,luisgpt_answer,response_time,faithfulness_rating,faithfulness_reason,factualness_rating,factualness_reason,clarity_rating,clarity_reason,relevance_rating,relevance_reason,conciseness_rating,conciseness_reason,overall_rating,overall_reason
How do I apply annual leave?,"Sorry to hear that, please submit your details in the form below:","Hello! I'm Luis. To apply for annual leave, you can follow these steps:

1. Check your leave balance: First, make sure you have enough leave balance to cover the duration of your intended leave. You can check your leave balance on HRCentral.
2. Discuss with your manager: Before applying for leave, it's always a good idea to discuss your leave plans with your direct manager. This is to ensure that your leave does not conflict with any important work commitments or projects.
3. Apply for leave on HRCentral: Once you have discussed your leave plans with your manager, you can apply for leave on HRCentral. Simply log in to HRCentral, go to the ""Leave"" tab, and select the type of leave you wish to apply for (e.g., Annual Leave). Enter the dates of your leave and submit your application.
4. Wait for approval: After submitting your leave application, your manager will receive an email notification to approve your leave. Once your leave is approved, you will receive a confirmation email.

Remember, if you are a Regular employee, your annual leave is by calendar year, and your leave entitlements for your new contract year will only be refreshed upon the commencement of your new contract year. If you are a Fixed-term employee, your annual leave is based on your contract year.

I hope this helps! If you have any further questions, feel free to ask.

Additionally, you can check out the following links for more information:
- To access HRCentral, you may visit Espresso > Self-service > HRCentral 
",9.07140941619873,2,Copilot's response does not accurately reflect the information needed to apply for annual leave.,1,Copilot's response is factually incorrect as it does not provide any relevant steps or information about applying for annual leave.,3,"While the response is clear, it does not address the question asked.",1,The response is irrelevant to the question about applying for annual leave.,5,The response is concise but lacks the necessary information to be useful.,2,Copilot's response is not helpful for someone looking to apply for annual leave.
"hi luis, how are you?","Hi, I'm fine, thank you! How can I assist you with your Singtel HR-related queries today?
AI-generated content may be incorrect","Hello! I'm doing well, thanks for asking. How may I assist you today?",7.846129369735718,7,Copilot accurately reflects the greeting but adds specific context (Singtel HR-related queries) that was not in the original question.,8,Copilot provides a factual response but assumes the context of Singtel HR-related queries without basis.,9,Copilot presents the information in a clear and understandable manner.,5,Copilot includes irrelevant details about Singtel HR-related queries which were not asked.,8,Copilot provides a concise response but adds unnecessary context.,7,"Copilot delivers a good answer but includes irrelevant context, which affects its overall effectiveness."
i want to apply leave. are you able to assist me?,"Sorry to hear that, please submit your details in the form below:","Yes, I can assist you with applying leave. Please provide me with the necessary details such as the type of leave you want to apply for, the dates of your leave, and your manager's name. Additionally, let me know if you have any specific requirements or requests, such as a half-day leave or a leave for a specific number of days.",6.016927433013916,5,Copilot does not accurately reflect the specific requirements for applying leave.,4,Copilot does not provide detailed or accurate information about the leave application process.,7,"Copilot presents its response in a clear manner, but lacks detailed instructions.",5,Copilot's response is somewhat relevant but lacks specific details needed for applying leave.,8,"Copilot provides a concise response, but it is too brief to be fully helpful.",6,Copilot delivers a basic answer but lacks the necessary details to be fully effective.
"I like to change my staff pass, who can i approach","You should approach your Business HR Manager for assistance with changing your staff pass [1].

[1]: cite:1 ""Citation-1""","Based on the information provided, you can approach Corporate Security at g-hqpassoff@singtel.com for staff pass enquiries.",9.062016916275024,7,Copilot's recommendation to approach the Business HR Manager is plausible but not explicitly supported by the provided source.,6,"While the information could be correct, there is no direct evidence from the source to confirm this specific detail.",9,Copilot's response is clear and easy to understand.,8,Copilot's response is relevant to the question but lacks specific details that might be more helpful.,9,Copilot provides a concise and to-the-point answer.,8,Copilot delivers a good answer but could improve in faithfulness and factualness.
do we allow half day medical leave?,"Employees may take up to 3 days of non-consecutive sick leave each year without requiring medical certificates to be submitted. However, half-day medical leave is not specifically mentioned in the provided documents [1].

[1]: cite:1 ""Citation-1""","Based on the provided context, the answer to the question ""do we allow half day medical leave?"" is no. The policy states that there is no half day Medical, Sick or Hospitalisation leave. Employees who are unwell may apply up to 3 days of non-consecutive sick leave in a year without having to attach a medical certificate, which will be deducted from their 14 days sick leave entitlement. Therefore, half day medical leave is not an option.

Additionally, you can check out the following links for more information:
- <a href='https://singtel.sharepoint.com/sites/app_hrsingtel/Policies/Leave/Pages/Medical%20Leave.aspx' target='_blank'> Medical Leave </a> 
",10.04595251083374,7,Copilot accurately reflects the information provided in the source but does not fully address the specific question about half-day medical leave.,7,Copilot provides mostly accurate information but lacks specific details about the half-day medical leave policy.,8,"Copilot presents information in a clear and understandable manner, though it could be more direct in addressing the question.",5,Copilot includes some irrelevant details and does not directly answer the question about half-day medical leave.,7,Copilot provides a concise summary but could be more focused on the specific question.,7,Copilot delivers a good answer but needs improvement in directly addressing the specific question about half-day medical leave.
I would like to request for COE without salary,"You can request a Certificate of Employment (COE) without salary details by contacting the Mobile In-House Support Team at s-mobileinhouse@singtel.com and providing justification for the request [1].

[1]: cite:1 ""Citation-1""","Sure, here's an example response:

Dear Luis,

Thank you for reaching out to us. Unfortunately, it's not possible to request for a Certificate of Employment (COE) without salary information. The COE is a document that confirms your employment status and includes details such as your job title, employment duration, and salary information.

If you need a COE for a specific purpose, such as applying for a bank loan or a visa, you will need to provide your salary information as part of the application process. The bank or embassy may require this information to verify your employment status and determine your eligibility for the loan or visa.

If you're concerned about privacy, you can ask your HR department to provide you with a COE that only includes your employment status and job title, without any salary information. However, please note that this may not be acceptable to all banks or embassies, and they may require a COE with salary information.

I hope this helps clarify things. Let me know if you have any further questions!",9.268559169769286,7,"Copilot provides a method to request a COE without salary details, but it does not fully align with typical HR policies.",6,Copilot's suggestion to contact a specific team may not be universally applicable and lacks verification.,8,"Copilot presents the information in a clear and understandable manner, but the instruction could be more detailed.",7,Copilot's response is mostly relevant but includes a specific contact that may not be relevant to all users.,9,Copilot provides a concise summary of the steps to request a COE without salary details.,8,Copilot delivers a good answer but could improve in terms of factual accuracy and universal applicability.
What is annex a?,"Annex A in the context of Singtel HR refers to the Incident Report form that needs to be completed and submitted when an accident occurs, as part of the Work Injury Compensation Claims Procedures [1].

[1]: cite:1 ""Citation-1""","Based on the provided information, Annex A appears to be a document or letter required for Singapore Permanent Residence (PR) application. It is mentioned that the applicant needs to obtain the Annex A from their employer, and the employer needs to fill in and sign the form. The Annex A is then submitted together with the PR application form.

Therefore, Annex A is likely a supporting document that provides additional information about the applicant's employment history, income, and other relevant details that are required for the PR application process.",9.189041566848754,8,Copilot accurately reflects the information provided in the source.,7,Copilot provides mostly accurate information but with minor errors.,9,Copilot presents information in a clear and understandable manner.,6,Copilot includes some irrelevant details.,8,Copilot provides a concise summary of the information.,10,Copilot delivers a great answer with room for improvement.
Where can i get a copy of annex a,"You can access a copy of Annex A, the Supervisor's Report, by visiting the following link: [https://singtel.sharepoint.com/sites/app_hrsingtel/Policies/Work-Environment/Documents/Annex%20A%20-%20Supervisor%27s%20Report_25052022.docx?d=wc0a7ed3be9b843eb9381866ba8951847](https://singtel.sharepoint.com/sites/app_hrsingtel/Policies/Work-Environment/Documents/Annex%20A%20-%20Supervisor%27s%20Report_25052022.docx?d=wc0a7ed3be9b843eb9381866ba8951847) [1].

[1]: cite:1 ""Citation-1""","Hi there! You can get a copy of Annex A for your PR application by requesting it through the Certificate of Employment Request portal on Singtel Group Espresso Home Page. Here are the steps:

1. Go to the Singtel Group Espresso Home Page (<<a href=""https://singtel.sharepoint.com/Pages/default.aspx>)"" target=""_blank"">https://singtel.sharepoint.com/Pages/default.aspx>)</a>
2. Click on SELF-SERVICE > Click on Certificate of Employment Request
3. Select [Addressed to ICA] under * Type of Letter(s)
4. Fill in the request form and submit it
5. You will receive an email notification upon successful submission of the request
6. You will receive a soft copy of the document/letter within 24 hours

If you have any issues or concerns, you can email the People Ops Team at <a href=""mailto:hremployteam@singtel.com"" target=""_blank"">hremployteam@singtel.com</a> (for Singtel employees) or <a href=""mailto:ml-ncshropsup@singtel.com"" target=""_blank"">ml-ncshropsup@singtel.com</a> (for NCS employees).

Alternatively, you can also retrieve/print your pay statements at HRCentral > Home > select ���View Payroll Information�۝ from the menu > Click on ���Payroll�۝ to get an income breakdown.

I hope this helps! Let me know if you have any further questions.

Additionally, you can check out the following links for more information:
- <a href=""https://singtel.sharepoint.com/Pages/default.aspx"" target=""_blank""> Espresso </a> 
- To access HRCentral, you may visit Espresso > Self-service > HRCentral 
",10.68130178451538,9,"Copilot accurately reflects the information provided in the source, including the correct link to Annex A.",9,Copilot provides accurate information and a valid link to the document.,10,Copilot presents information in a clear and straightforward manner.,10,Copilot's response is highly relevant to the question asked.,10,Copilot provides a concise and direct answer without unnecessary details.,9,Copilot delivers an excellent answer with minimal room for improvement.
How to print or download my payslip?,"You can email Payroll via g-payrollsg@singtel.com for queries related to payslips [1].

[1]: cite:1 ""Citation-1""","Hi there! I'm happy to help you with your question. However, I couldn't find any information related to printing or downloading payslips in the provided context.

But don't worry, I can suggest a few ways to access your payslip:

1. HRCentral: You can view and print your payslip via HRCentral > Home > select ""View Payroll Information"" > Click on ""Payroll"".
2. Singtel's Employee Self-Service Portal: You can log in to the portal and navigate to the ""Payroll"" section to view and download your payslip.
3. Contact Payroll Team: If you have any issues or concerns regarding your payslip, you can reach out to the Payroll Team via HR Assist > <a href=""https://singtel.service-now.com/hr?sysparm_stack=no&sys_id=6683f210dbd3041058647b088c96193f&catalog_id=-1&id=sc_category"" target=""_blank"">Payroll and Tax</a>.

I hope this helps! Let me know if you have any further questions.

Additionally, you can check out the following links for more information:
- To access HRCentral, you may visit Espresso > Self-service > HRCentral 
- <a href='https://singtel.sharepoint.com/sites/app_grouphr/hrcentral/Documents/Quick%20Guide%20for%20Employees_Payroll.pdf' target='_blank'> Quick Guide for Employees_Payroll.pdf </a> 
",11.540948820114135,5,"Copilot does not directly address the question of how to print or download a payslip, instead suggesting to email Payroll.",6,The information provided by Copilot is factually correct but does not fully answer the question.,7,Copilot's response is clear but lacks detailed instructions on how to print or download a payslip.,4,Copilot's response is only partially relevant to the question as it does not provide a direct method for printing or downloading a payslip.,9,Copilot's response is concise but at the expense of not fully answering the question.,5,Copilot provides a partial answer that is clear and concise but lacks direct relevance and completeness.
where do i get certificate of employment?,"You can obtain a Certificate of Employment during the off-boarding process once the termination workflow in HRC is approved by your manager [1].

[1]: cite:1 ""Citation-1""","Sure! Here's a short and concise answer to the question ""where do i get certificate of employment?"":

You can request for a certificate of employment by clicking on the following link > <a href=""https://apps.powerapps.com/play/e/default-beb276ac-6e9f-498e-8e31-019ee666decd/a/cf4b9892-d3f2-4bcd-8297-59dfbad3ef77?tenantId=beb276ac-6e9f-498e-8e31-019ee666decd&hint=ec9cafaf-f840-42fb-a403-b6ed18e1196e&sourcetime=1692925785113&source=portal"" target=""_blank"">Certificate of Employment Request</a>. Alternatively, you may access it through <a href=""https://singtel.sharepoint.com/Pages/default.aspx"" target=""_blank"">Singtel Group Espresso Home Page</a> > go > SELF-SERVICE > Click on Certificate of Employment Request. Fill out the required information and submit the request form. You will receive an email notification upon successful submission of the request, and you will receive a soft copy of the certificate of employment within 24 hours. If you have any issues, you can email the People Ops Team for assistance.

Additionally, you can check out the following links for more information:
- <a href=""https://singtel.sharepoint.com/Pages/default.aspx"" target=""_blank""> Espresso </a> 
",9.164969635009765,8,Copilot accurately reflects the information provided in the source.,7,Copilot provides mostly accurate information but with minor errors.,9,Copilot presents information in a clear and understandable manner.,6,Copilot includes some irrelevant details.,8,Copilot provides a concise summary of the information.,10,Copilot delivers a great answer with room for improvement.
